Book Name,Price,Rating,Url
Behavioral Data Analysis with R and Python: Customer-Driven Data for Real Business Results,$37.74,5.0 out of 5 stars,https://www.amazon.com/Behavioral-Data-Analysis-Python-Customer-Driven/dp/1492061379/ref=sr_1_36?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660326&sprefix=data+%2Caps%2C420&sr=8-36
"Econometric Analysis of Cross Section and Panel Data, second edition (The MIT Press)",$115.00,4.5 out of 5 stars,https://www.amazon.com/Econometric-Analysis-Cross-Section-Panel/dp/0262232588/ref=sr_1_37?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660326&sprefix=data+%2Caps%2C420&sr=8-37
Business Analytics: Data Analysis & Decision Making,$17.74,4.1 out of 5 stars,https://www.amazon.com/Business-Analytics-Analysis-Decision-Making/dp/1133629601/ref=sr_1_38?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660326&sprefix=data+%2Caps%2C420&sr=8-38
"SQL QuickStart Guide: The Simplified Beginner's Guide to Managing, Analyzing, and Manipulating Data With SQL",$18.99,4.5 out of 5 stars,https://www.amazon.com/SQL-QuickStart-Guide-Simplified-Manipulating/dp/1945051752/ref=sr_1_39?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660326&sprefix=data+%2Caps%2C420&sr=8-39
"Python Data Analysis: Perform data collection, data processing, wrangling, visualization, and model building using Python, 3rd Edition",$33.24,4.7 out of 5 stars,https://www.amazon.com/Python-Data-Analysis-collection-visualization/dp/1789955246/ref=sr_1_40?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660326&sprefix=data+%2Caps%2C420&sr=8-40
"The Data Analysis Workshop: Solve business problems with state-of-the-art data analysis models, developing expert data analysis skills along the way",$34.99,4.4 out of 5 stars,https://www.amazon.com/Data-Analysis-Workshop-state-art/dp/1839211385/ref=sr_1_41?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660326&sprefix=data+%2Caps%2C420&sr=8-41
"Doing Bayesian Data Analysis: A Tutorial with R, JAGS, and Stan",$38.18,4.6 out of 5 stars,https://www.amazon.com/Doing-Bayesian-Data-Analysis-Tutorial/dp/0124058884/ref=sr_1_42?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660326&sprefix=data+%2Caps%2C420&sr=8-42
"An Introduction to Categorical Data Analysis, 3rd Edition (Wiley Series in Probability and Statistics)",$35.30,4.4 out of 5 stars,https://www.amazon.com/Introduction-Categorical-Analysis-Probability-Statistics/dp/1119405262/ref=sr_1_43?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660326&sprefix=data+%2Caps%2C420&sr=8-43
"Applied Spatial Data Analysis with R (Use R!, 10)",$52.18,4.4 out of 5 stars,https://www.amazon.com/Applied-Spatial-Data-Analysis-Use/dp/1461476178/ref=sr_1_44?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660326&sprefix=data+%2Caps%2C420&sr=8-44
"Multivariate Data Analysis, 8th edition",$43.96,4.4 out of 5 stars,https://www.amazon.com/Multivariate-Analysis-Joseph-Anderson-William/dp/9353501350/ref=sr_1_46?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660326&sprefix=data+%2Caps%2C420&sr=8-46
Qualitative Data Analysis: Practical Strategies,$40.00,5.0 out of 5 stars,https://www.amazon.com/Qualitative-Data-Analysis-Practical-Strategies-ebook/dp/B087QLT8JK/ref=sr_1_47?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660326&sprefix=data+%2Caps%2C420&sr=8-47
Geographical Data Science and Spatial Data Analysis: An Introduction in R (Spatial Analytics and GIS),$46.54,4.3 out of 5 stars,https://www.amazon.com/Geographical-Data-Science-Spatial-Analysis/dp/1526449366/ref=sr_1_48?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660326&sprefix=data+%2Caps%2C420&sr=8-48
"Python for Data Analysis: A Beginners Guide to Master the Fundamentals of Data Science and Data Analysis by Using Pandas, Numpy and Ipython",$17.97,4.6 out of 5 stars,https://www.amazon.com/Python-Data-Analysis-Beginners-Fundamentals/dp/B09DMP86NY/ref=sr_1_49?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660332&sprefix=data+%2Caps%2C420&sr=8-49
Modes of Thinking for Qualitative Data Analysis,$34.99,4.9 out of 5 stars,https://www.amazon.com/Modes-Thinking-Qualitative-Data-Analysis/dp/1629581798/ref=sr_1_50?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660332&sprefix=data+%2Caps%2C420&sr=8-50
Applied Survey Data Analysis (Chapman & Hall/CRC Statistics in the Social and Behavioral Sciences),$39.91,4.8 out of 5 stars,https://www.amazon.com/Applied-Analysis-Statistics-Behavioral-Sciences/dp/1498761607/ref=sr_1_51?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660332&sprefix=data+%2Caps%2C420&sr=8-51
Qualitative Data Analysis with NVivo,$38.00,4.6 out of 5 stars,https://www.amazon.com/Qualitative-Data-Analysis-with-NVivo/dp/1526449943/ref=sr_1_52?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660332&sprefix=data+%2Caps%2C420&sr=8-52
Data Analysis: A Bayesian Tutorial,$27.73,4.6 out of 5 stars,https://www.amazon.com/Data-Analysis-Bayesian-Devinderjit-Sivia/dp/0198568320/ref=sr_1_53?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660332&sprefix=data+%2Caps%2C420&sr=8-53
Analyzing and Interpreting Qualitative Research: After the Interview,$60.00,5.0 out of 5 stars,https://www.amazon.com/Analyzing-Interpreting-Qualitative-Research-Interview/dp/1544395876/ref=sr_1_54?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660332&sprefix=data+%2Caps%2C420&sr=8-54
Bayesian Data Analysis for the Behavioral and Neural Sciences,$64.99, ,https://www.amazon.com/Bayesian-Analysis-Behavioral-Neural-Sciences/dp/1108812902/ref=sr_1_55?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660332&sprefix=data+%2Caps%2C420&sr=8-55
"Data Analysis: A Model Comparison Approach To Regression, ANOVA, and Beyond, Third Edition",$33.97,4.3 out of 5 stars,https://www.amazon.com/Data-Analysis-Comparison-Approach-Regression/dp/1138819832/ref=sr_1_56?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660332&sprefix=data+%2Caps%2C420&sr=8-56
"Selecting the Right Analyses for Your Data: Quantitative, Qualitative, and Mixed Methods",$38.14,4.3 out of 5 stars,https://www.amazon.com/Selecting-Right-Analyses-Your-Data/dp/1462515762/ref=sr_1_57?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660332&sprefix=data+%2Caps%2C420&sr=8-57
Microsoft Excel Data Analysis and Business Modeling,$15.92,4.6 out of 5 stars,https://www.amazon.com/Microsoft-Excel-Analysis-Business-Modeling/dp/1509304215/ref=sr_1_58?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660332&sprefix=data+%2Caps%2C420&sr=8-58
