Name,Address,Facilities,Avg_price_per_night,Rating
Ritman Hotels,"Garki, Abuja - 11 Ilorin Street, Area 8",InternetBar,"₦12,000avg/night",7.4 Very GoodFrom 24 reviews
Bolingo Hotel And Towers,"Central Business District, Abuja - Independent Avenue Central Business District, Gark...",InternetRestaurantPoolBarGym,"₦24,000avg/night",7.3 Very GoodFrom 22 reviews
Tescon Hotel,"Lugbe, Abuja - Plot 338 Lugbe Phase 1 Layout, Airport Road, Abuja",RestaurantBar,"₦10,500avg/night",7.1 Very GoodFrom 10 reviews
AMBIENCE HOTEL ABUJA,"Abuja, Abuja - 27 Ontario Cresent,  Suncity Estate, Lokogoma",Bar,"₦7,000avg/night",6.3 Very GoodFrom 3 reviews
Salaam Hospitality,"Gwarinpa, Abuja - No 26 Femi Adetola Street, Off 7th Avenue, Gwarinp...",RestaurantBar,"₦6,000avg/night",
Ritman Hotels Gwarinpa Branch,"Gwarinpa, Abuja - 5 Christina Ajayi Okunuga Street (Road 11)",InternetBar,"₦9,500avg/night",6.9 Very GoodFrom 24 reviews
Grand Cubana Hotel,"Jabi, Abuja -  6 Ebitu Ukiwe St,",InternetRestaurantPoolBarGym,"₦25,000avg/night",8.4 ExcellentFrom 10 reviews
Pope John Paul Catholic Guest House,"Wuse, Abuja - Pope John Paul Ll Catholic Centren 27, Bangui Stre...",RestaurantBar,"₦13,100avg/night",6.7 Very GoodFrom 49 reviews
"BARCELONA HOTELS, ABUJA","Wuse 2, Abuja - 23 Blantyre Street, Off Aminu Kano Crescent, Wuse ...",InternetRestaurantPoolBarGym,"₦30,400avg/night",6.7 Very GoodFrom 32 reviews
Stamford Hotels ,"Kubwa, Abuja - 26 / 28 Olukoya Street Extension 3 By Army Post Se...",RestaurantBar,"₦10,500avg/night",6.7 Very GoodFrom 16 reviews
New City Hotel,"Wuye, Abuja - Plot 576 Gidado Idris Street Wuye",RestaurantBar,"₦10,000avg/night",6.5 Very GoodFrom 11 reviews
 Hotel Rosebud,"Garki, Abuja - 33 Port Harcourt Crescent Off Gimbiya Street, Gark...",InternetBar,"₦20,000avg/night",6.7 Very GoodFrom 10 reviews
Maitama Guest House,"Maitama, Abuja - 25, Yedsaram Street",InternetRestaurantBar,"₦8,800avg/night",6.8 Very GoodFrom 21 reviews
Rodze Hotel,"Wuse Zone 5, Abuja - Plot No27, Duola Street, Wuse Zone 5,Abuja",InternetRestaurantBar,"₦12,000avg/night",8.3 ExcellentFrom 21 reviews
Bjorne Suites,"Wuse 2, Abuja - 28 Agadez Crescent, Off Aminu Kano Crescent ",InternetRestaurantBar,"₦21,300avg/night",7.7 Very GoodFrom 36 reviews
Blue-view Hotel," Lugbe, Abuja - Light Gold Estate, Lugbe",RestaurantBar,"₦7,000avg/night",6.9 Very GoodFrom 5 reviews
MS-MARRIOTT APARTMENTS,"Kubwa, Abuja - Plot 28, Allen Avenue Street, Gidi Dutse, Along Ga...",InternetRestaurantBar,"₦7,500avg/night",6.4 Very GoodFrom 6 reviews
The Bahamas Hotels International,"Asokoro, Abuja - 20, Eyadema Street, Behind Ecowas Secretariat",Restaurant,"₦10,000avg/night",7.2 Very GoodFrom 10 reviews
SeaDry Suites,"Kubwa, Abuja - FCDA Extension III",RestaurantBar,"₦6,000avg/night",8.5 ExcellentFrom 4 reviews
1 Oak Place,"Maitama, Abuja - NO. 38 Euphrates Street Maitama",InternetRestaurantBarGym,"₦25,800avg/night",8.4 ExcellentFrom 10 reviews
Transcorp Hilton Abuja,"Maitama, Abuja - 1 Aguiyi Ironsi Street Maitama, Abuja",InternetRestaurantBar,"₦108,554avg/night",6.8 Very GoodFrom 19 reviews
Royal Choice Inn,"Central Business District, Abuja - Beside The National Christian Centre, Behind CBN, ...",Restaurant,"₦17,000avg/night",6.8 Very GoodFrom 9 reviews
Langfield Royalty Motel,"Garki, Abuja - 24 Dunukofia Street Area 11 Opposite Fcda ",RestaurantBar,"₦7,000avg/night",6.3 Very GoodFrom 17 reviews
Nippon Grand Hotels,"Kado, Abuja - Plot 102 Ahmadu Bello, Kado Express Way, Opp Nest ...",InternetPoolBarGym,"₦27,000avg/night",8.0 ExcellentFrom 12 reviews
Reiz Continental Hotel,"Garki, Abuja - Plot 779, Cadastral Zone AO,Central Business Distr...",InternetRestaurantPoolBar,"₦39,715avg/night",7.8 Very GoodFrom 24 reviews
Grand Ibro Hotel Annex,"Wuse Zone 5, Abuja - 36 Sokode Crescent",PoolBarGym,"₦17,000avg/night",6.9 Very GoodFrom 13 reviews
St Mattias Hotel,"Utako, Abuja -  5 Olu Akinfosile Close Off T.O.S Benson Crescent ",RestaurantBar,"₦10,000avg/night",7.6 Very GoodFrom 4 reviews
Bisola Lodge,"Lugbe, Abuja - Kings Of Kngs Road, Off Total Filling Station, FHA",Bar,"₦3,500avg/night",
Green Mike Hotel Formerly (Royal Tropicana Hotel),"Utako, Abuja - Plot 764, Cadastral Zone B05, Utako",InternetRestaurantPoolBarGym,"₦10,000avg/night",7.1 Very GoodFrom 4 reviews
The Weaver's Hotel,"Central Business District, Abuja - Plot 74 Ralph Shodeinde Street, Ogun State House O...",InternetRestaurantBar,"₦15,000avg/night",7.4 Very GoodFrom 18 reviews
The Edge By Wellness,"Gwarinpa, Abuja - No.1 C-Close, 4th Avenue, Citec Villa, Gwarinpa",PoolBarGym,"₦14,997avg/night",9.5 ExcellentFrom 4 reviews
Peace Haven Hotel,"Wuye, Abuja - 112 Olusegun Obasanjo Way, Wuye, FCT",InternetRestaurantPool,"₦13,000avg/night",6.4 Very GoodFrom 13 reviews
Golden Astoria Hotels,"Utako, Abuja - No. 9, Moses Majekodunmi Crescent",RestaurantBar,"₦9,000avg/night",7.6 Very GoodFrom 9 reviews
Sharon Ultimate Hotels,"Garki, Abuja - Plot 1710, Tafawa Balewa Way, Area 3",RestaurantPool,"₦19,000avg/night",6.2 Very GoodFrom 18 reviews
Bristlecone Suites And Apartments,"Asokoro, Abuja - 71 Kwame Nkrumah Crescent, Asokoro",Internet,"₦13,900avg/night",
House 9 Apartments,"Maitama, Abuja - #9 Ontario Crescent, Off Mississippi Street,maitam...",InternetRestaurantBar,"₦15,750avg/night",8.3 ExcellentFrom 19 reviews
FRANKEYZ HAVEN SUITES,"Gwarinpa, Abuja - 38/40, 1st Avenue (between NNPC Filing Station And...",InternetRestaurantBarGym,"₦9,500avg/night",5.1 GoodFrom 4 reviews
Frankville Hotel Ltd,"Karu, Abuja - FMEV Quaters , (Formerly Nepa Quaters), E10/9076, ...",InternetRestaurantPoolBarGym,"₦8,500avg/night",6.9 Very GoodFrom 7 reviews
Casalinda Hotel ,"Wuse 2, Abuja - 6 Takwa Crescent, Wuse 2 , By Exclusive Stores",InternetRestaurantPoolBarGym,"₦25,500avg/night",8.8 ExcellentFrom 2 reviews
Starview Palace Hotel,"Gwarinpa, Abuja - Plot 7, 4th Avenue (by Setraco Gate)",RestaurantPoolBarGym,"₦25,000avg/night",6.0 Very GoodFrom 9 reviews
"Hatfield Apartments, Jabi","Jabi, Abuja - 11 Etang O. Obuli Crescent Off Idris Ibrahim, Cres...",InternetRestaurantBar,"₦14,000avg/night",8.1 ExcellentFrom 31 reviews
Laredo Hotel,"Mpape, Abuja - 8 Jikoko Road By Berger Quarry Road, Mpape",RestaurantBar,"₦2,000avg/night",3.6 FairFrom 1 review
Chateau De Trybze,"Wuse, Abuja - 51 Suez Crescent Abacha Estate , Behind Sheraton H...",InternetBarGym,"₦15,000avg/night",7.5 Very GoodFrom 16 reviews
"Top Rank Hotels Galaxy, Abuja","Abuja, Abuja - Plot 245, Pow Mafemi, Off Solomon Lar Way, Utako, ...",RestaurantPoolBarGym,"₦21,620avg/night",8.3 ExcellentFrom 5 reviews
Ibis Lagos Airport,"Ajao Estate, Lagos - 35/37 Murtala Mohamed Intl Airport Road",PoolBar,"₦20,000avg/night",8.2 ExcellentFrom 137 reviews
Hotel Ibis Lagos Ikeja,"Ikeja, Lagos - 23 Toyin Street, Ikeja, Lagos",InternetRestaurantPoolBarGym,"₦37,000avg/night",8.4 ExcellentFrom 225 reviews
"The Moorhouse Hotel, Ikoyi","Ikoyi, Lagos - 1 Bankole Oki Street",InternetRestaurantBar,"₦44,000avg/night",
Beni Apartments,"Victoria Island, Lagos - Plot 37 Ahmed Onibudo Street Off Adeola Hopewell",InternetRestaurantPoolBar,"₦15,000avg/night",7.4 Very GoodFrom 143 reviews
Beni Hotels,"Lagos Island, Lagos - 11/13 Wimo Onatere Street, Off Broad Street",InternetPoolBar,"₦8,500avg/night",7.3 Very GoodFrom 61 reviews
Choice Suites (Formerly Chantella Suites),"Ikeja, Lagos - 3B, Allen Lane, Off Allen Avenue, Behind KFC, By D...",InternetBar,"₦10,000avg/night",7.4 Very GoodFrom 39 reviews
Extended Stay Grand Hotel,"Lekki Phase 1, Lagos - 21 Oladimeji Alo, Off Freedom Way Beside Canadian ...",RestaurantPoolBar,"₦20,000avg/night",7.5 Very GoodFrom 37 reviews
Beni Gold Hotel And Apartments,"Victoria Island, Lagos - 18 Adeleke Adedoyin Off Kofo Abayomi, Victoria-Isl...",RestaurantPoolBarGym,"₦22,000avg/night",7.8 Very GoodFrom 351 reviews
The Cocoon Luxury Suites Ilupeju,"Ilupeju, Lagos - 16 Aina George Street, Off Coker Road, Ilupeju",Internet,"₦16,000avg/night",8.9 ExcellentFrom 11 reviews
Presken Hotel And Suites (Former Hayes Hotels),"Ikeja, Lagos - 14/16 Mojidi Street, Off Toyin Street  POBox 14603...",InternetRestaurantBar,"₦15,000avg/night",7.0 Very GoodFrom 21 reviews
DEMEG HOTEL AND SUITES,"Ipaja, Lagos - 2/2B Bola Sanyaolu Close, Akinyele Bustop, Ipaja",RestaurantGym,"₦14,500avg/night",
Double M Exquisite Suites And Lounge,"Lekki, Lagos -  9 Kazeem Abogun St, Off New Road Alpha Beach, Lek...",InternetPoolBar,"₦20,000avg/night",8.8 ExcellentFrom 36 reviews
Perfect View Hotels Ltd (Formerly La Bugatti Suite Limited),"Victoria Island, Lagos - 204B, Etim Inyang Crecsent",RestaurantBar,"₦10,000avg/night",6.7 Very GoodFrom 29 reviews
Demiral Hotel At The Place Lekki,"Lekki, Lagos - Plot 38 Block 10 Beside Fun Factory Admiralty Way",InternetRestaurant,"₦15,000avg/night",7.1 Very GoodFrom 29 reviews
Integrity Hotel And Suites," Victoria Island, Lagos - 17, Agbagbon Close Off Ologun Agbaje Street, Off A...",RestaurantPoolGym,"₦13,999avg/night",6.0 Very GoodFrom 25 reviews
CitiHeight Hotel,"Ikeja, Lagos - No. 6 Sheraton-Opebi Link Road",Bar,"₦25,500avg/night",8.7 ExcellentFrom 20 reviews
Eko Hotel ,"Victoria Island, Lagos - 1415 Adetokunbo Ademola Street",InternetRestaurantPoolBar,"₦108,000avg/night",7.5 Very GoodFrom 35 reviews
Presken Hotel And Resorts (Formerly Cheers Hotel),"Ikeja, Lagos - 131 Obafemi Awolowo Way By Allen Avenue Round Abou...",InternetRestaurantPool,"₦15,500avg/night",7.2 Very GoodFrom 23 reviews
"Presken Hotel @ G.R.A, Ikeja","Ikeja, Lagos - 6, Remi Fani Kayode Avenue, G.R.A, Ikeja , Off Oba...",InternetRestaurantPoolBar,"₦18,875avg/night",7.8 Very GoodFrom 23 reviews
Jeromes Garden And Suites,"Ikeja, Lagos - 29, Oroleye Crescent, Off Abel Oreniyi Street, Off...",InternetRestaurantPool,"₦15,000avg/night",8.2 ExcellentFrom 96 reviews
Vintage Suites,"Surulere, Lagos - 15c, Akinhanmi Street, Off Funsho Williams Avenue,...",InternetRestaurantBar,"₦10,000avg/night",7.1 Very GoodFrom 23 reviews
Dmatel Hotel And Resort ,"Lekki, Lagos - 10 Agungi Road, Ajiran Off Lekki Expressway",Restaurant,"₦19,000avg/night",7.1 Very GoodFrom 67 reviews
BTT HOMES,"Lekki Phase 1, Lagos - Plot 36 Adebisi Ogunniyi Crescent. Off Visa Office...",Bar,"₦30,000avg/night",7.9 Very GoodFrom 12 reviews
Handsworth Hotel Limited,"Ajah, Lagos - 7/8 Young Arabamen Street Farm  Bus-stop Sangotedo...",RestaurantBar,"₦11,500avg/night",6.5 Very GoodFrom 32 reviews
Lagos Oriental Hotel,"Victoria Island, Lagos -  3 Lekki Road",InternetRestaurantBar,"₦75,000avg/night",8.1 ExcellentFrom 32 reviews
Swiss Cottage Suites,"Ikeja , Lagos -  18 Sunday Adigun Street Alausa Ikeja( Adjacent To...",InternetRestaurantBar,"₦16,000avg/night",7.9 Very GoodFrom 35 reviews
The Cocoon Luxury Suites,"Gbagada, Lagos - 6, Oguntona Crescent, Gbagada Phase 1 ",InternetRestaurantBarGym,"₦15,000avg/night",8.3 ExcellentFrom 18 reviews
Atlantic Palms Suites,"Lekki, Lagos - 1, Abolakale Arikawe Drive, Off Alpha Beach New Ro...",InternetRestaurantPoolBarGym,"₦20,000avg/night",7.6 Very GoodFrom 13 reviews
Deke Hotel,"Yaba, Lagos - Plot 79 Karimu Kotun Oyadiran Estate Sabo",Restaurant,"₦5,500avg/night",6.0 Very GoodFrom 73 reviews
KnightsBridge Hotel,"Ikeja, Lagos - 9 Emina Crescent Off Toyin Street ",InternetBar,"₦12,750avg/night",7.7 Very GoodFrom 34 reviews
Unilag Guest House,"Yaba, Lagos - University Of Lagos Akoka ",,"₦15,000avg/night",6.0 Very GoodFrom 42 reviews
Presken Hotel @ International Airport RD (Formerly Max Royal Hotel),"Oshodi, Lagos - 50, International Airport Road, Ajao Estate Bussto...",InternetRestaurantPoolBarGym,"₦18,875avg/night",8.3 ExcellentFrom 6 reviews
Cosmic Guest House,"Ikeja, Lagos - 36a Olu-Akerele Street Balogun Bus Stop. Off Awolo...",InternetRestaurantBar,"₦5,000avg/night",5.4 GoodFrom 47 reviews
Divine Fountain Hotel,"Ikeja, Lagos - 12, Lateef Jakande, Agindingbi, Ikeja , Lagos",InternetRestaurantPoolBar,"₦6,500avg/night",6.2 Very GoodFrom 36 reviews
Eastgate Lekki,"Lekki, Lagos - 4, Dreamworld Africana Way Olugborogan Olusesi, Ch...",InternetRestaurantPoolBar,"₦20,000avg/night",7.2 Very GoodFrom 23 reviews
Pearlwort Hotel And Suites,"Ikeja, Lagos -  Plot 7, Impressive Close, Off L.J. Dosunmu Street...",RestaurantPoolBarGym,"₦32,000avg/night",7.0 Very GoodFrom 6 reviews
Zeina Suites,"Lekki, Lagos - 1, General Ogumodia Boulavard, Lekki Phase 1, Lekk...",InternetRestaurant,"₦20,000avg/night",7.1 Very GoodFrom 13 reviews
Villa Angelia Hotel,"Ikoyi, Lagos - 2/7 Okunla Martins Close Off Okotie Eboh Street Of...",InternetRestaurantPoolBar,"₦16,500avg/night",8.0 ExcellentFrom 13 reviews
